"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_name","description"
"ENSSSAG00000090707",129.906914838254,-8.09293511243377,0.918486146189856,301.148855634585,4.6408514280981e-62,1.63090522921352e-61,"TRIM110","tripartite motif containing 110 [Source:ZFIN;Acc:ZDB-GENE-070912-10]"
"ENSSSAG00000092341",971.404192184371,12.5602726747156,0.733169628979313,744.396789256376,1.58177131711971e-157,3.24854939209824e-156,"TRIM63A.1","tripartite motif containing 63a [Source:ZFIN;Acc:ZDB-GENE-040625-139]"
"ENSSSAG00000092379",35.5068805054884,0.3050594871638,0.932936509928712,553.649355007566,2.30721132137269e-116,2.42634305278441e-115,"TRIM35-12.1","tripartite motif containing 35-12 [Source:ZFIN;Acc:ZDB-GENE-110920-4]"
"ENSSSAG00000093150",31.3324647346441,2.6106098426701,1.00859611037156,189.911189631486,2.65746111745216e-38,5.47866662166543e-38,"TRIM71","tripartite motif containing 71, E3 ubiquitin protein ligase [Source:ZFIN;Acc:ZDB-GENE-040128-1]"
"ENSSSAG00000093151",33.591190578657,-1.40742070907074,0.420641235187506,66.8589568719487,1.79870148275518e-12,2.09042455119018e-12,"ENSSSAG00000093151","tripartite motif containing 62, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-070112-502]"
"ENSSSAG00000094514",587.056560022385,-0.428320700175313,0.183745287012514,75.6293228842603,2.84807210183776e-14,3.42112098003938e-14,"ENSSSAG00000094514","tripartite motif containing 8b [Source:ZFIN;Acc:ZDB-GENE-030131-4325]"
"ENSSSAG00000096494",280.918378325705,-1.22901756266145,0.370806135977156,420.782300771259,9.49374742886509e-88,5.73497160752144e-87,"TRIM3B","tripartite motif containing 3b [Source:ZFIN;Acc:ZDB-GENE-070112-1132]"
"ENSSSAG00000097565",38.2507168235456,1.41404662377261,1.03411047358259,403.692831270295,4.49294117647069e-84,2.52483479886806e-83,"TRIM25L.1","tripartite motif containing 25, like [Source:ZFIN;Acc:ZDB-GENE-040914-87]"
"ENSSSAG00000103531",1611.43918587146,9.18881160009662,0.365764913581435,1189.52049278712,8.87199329037803e-254,5.97254066324985e-252,"TRIM63B","tripartite motif containing 63b [Source:ZFIN;Acc:ZDB-GENE-040426-1003]"
"ENSSSAG00000104684",139.605888339564,-4.80303133931065,0.449887343009042,392.535101663419,1.12506643137695e-81,5.9993861728602e-81,"TRIM9.1","tripartite motif containing 9 [Source:ZFIN;Acc:ZDB-GENE-030131-8043]"
"ENSSSAG00000106355",51.0174121987124,-7.71488585769834,0.770463566066636,295.971126612582,5.96986347059552e-61,2.05040020679498e-60,"TRIM46A.1","tripartite motif containing 46a [Source:ZFIN;Acc:ZDB-GENE-110825-1]"
"ENSSSAG00000111255",221.74171531196,0.0596423788476275,0.241284002098301,209.66142565443,1.66276971658654e-42,3.77567247551909e-42,"TRIM32.1","tripartite motif containing 32 [Source:HGNC Symbol;Acc:HGNC:16380]"
